text,section,header,div,p,s,id
"It is possible that less-consistent effects were observed on trials with errors because of reduced power to detect an effect on these trials, which by design were less numerous (~25%).",discussion,General Discussion,9,2,6,0956797614557697
"Figure 1 shows that CY had very little predictive power for CLIM, but the fit in the transposed plot has an obvious bell-shaped curve.",results,Analysis and Results,3,4,1,0956797614566469
The present findings demonstrate the long-range power of self-control in predicting success in life and single out self-control as a key target for early intervention programs.,discussion,08,17,8,6,0956797615569001
"Sample size was calculated with an a priori power analysis, using the effect sizes reported by Küpper et al. (2014), who used identical procedures, materials, and dependent measures.",method,Participants,3,1,2,0956797615569889
We determined that a minimum sample size of 7 per group would be necessary for 95% power to detect an effect.,method,Participants,3,1,3,0956797615569889
"For the first part of the task, 11 static visual images, one from each of the scenes in the film were presented once each on a black background for 2 s using Power-Point.",method,Tasks and measures,4,2,3,0956797615583071
A sample size of 26 per group was required to ensure 80% power to detect this difference at the 5% significance level.,method,Intrusion-provocation task (IPT).,5,13,3,0956797615583071
A sample size of 18 per condition was required in order to ensure an 80% power to detect this difference at the 5% significance level.,method,Method,10,3,3,0956797615583071
"The 13,500 selected loan requests conservatively achieved a power of .98 for an effect size of .07 at an alpha level of .05.",method,Internet study,3,2,8,0956797615588467
Power analysis and sample size.,method,Neuroimaging study,4,5,1,0956797615588467
"On the basis of simulations over a range of expected effect sizes for contrasts of fMRI activity, we estimated that a sample size of 24 would provide .80 power at a conservative brainwide alpha threshold of .002 (although such thresholds ideally should be relaxed for detecting activity in regions where an effect is predicted).",method,Neuroimaging study,4,5,3,0956797615588467
This required a second power estimate.,method,Neuroimaging study,4,5,6,0956797615588467
"Stimulus sample size was determined via power analysis of the sole existing similar study, which used neural activity to predict Internet downloads of music (Berns & Moore, 2012).",method,Neuroimaging study,4,5,7,0956797615588467
The effect size from that study implied that a sample size of 72 loan requests would be required to achieve .80 power at an alpha level of .05.,method,Neuroimaging study,4,5,8,0956797615588467
An a priori power analysis showed that 40 participants per condition should have 80% power to detect an effect size (Cohen's d) of 0.63.,method,Participants,3,1,2,0956797615620784
"This sample size yielded greater than 80% power to detect group differences of the size we had previously observed in studies of awareness in eyeblink conditioning (e.g., Lovibond et al., 2011).",method,Participants,3,1,4,0956797615625973
"Furthermore, the effect of go and no-go runs is expected to be much smaller in the unpredictable condition, so much larger sample sizes would be needed to obtain sufficient statistical power in this condition.",discussion,Open Practices,9,2,4,0956797616631990
"Sample size was determined using a power analysis (G*Power Version 3.1.9.2; Faul, Erdfelder, Lang, & Buchner, 2007) based on previous studies that have investigated the link between decision outcomes and self-reported feelings using within-subjects designs.",method,Participants,3,1,2,0956797616634654
We determined that a sample size of 59 participants would achieve 85% power to detect an effect size of 0.401 with an alpha of .05.,method,Participants,3,1,4,0956797616634654
"Sample sizes in each study were chosen to maximize power given the constraints of the participant pool, and observed power was generally adequate across all tests (ranging from .55 to .97).",availability,Notes,21,1,2,0956797616636631
"Although it is the largest of its kind regarding both the number of twins in the sample and the number of assessments, our sample was relatively small compared with the samples in conventional twin studies, and our power to detect small effects was limited.",discussion,Discussion,9,6,2,0956797616669994
We chose three age groups for adolescents as a compromise between the increased sensitivity that comes with increasing numbers of groups and the loss of power this engenders.,method,Participants,3,1,3,0956797616671327
"We aimed to collect data from 200 participants, in order to have 80% power to detect an interaction effect corresponding to a Cohen's d of 0.40.",method,Method,5,1,5,0956797617692000
"We aimed to collect data from 340 participants to have 80% power to detect a small to medium effect (i.e., the size of the effect found in Study 1).",method,Method,14,1,3,0956797617692000
"The sample size was based on our decision to recruit as many ASC participants as possible and then calculate the number of control participants necessary to provide approximately 70% power to detect a difference between groups given the difference in proportions of consistent choices observed between the low-and high-AQ groups in the AQ study, which was conducted first (higher power would require unfeasibly large numbers of control participants; Faul, Erdfelder, Buchner, & Lang, 2009).",method,ASC study: comparing ASC participants with control participants,3,3,2,0956797617694867
"The sample sizes were chosen to achieve more than 80% power to detect a medium-sized effect (d = 0.5) in simple between-groups comparisons (Faul et al., 2009).",method,AQ study: comparing low-AQ and high-AQ groups,4,2,11,0956797617694867
These interventions harnessed both competitiveness and the power of social norms.,results,Increasing energy conservation,9,1,3,0956797617702501
"An initial power analysis suggested that a sample size between 30 and 46 observers would achieve the desired effect size (Cohen's f = 0.20-0.25, α = .05, β = 0.90).",method,General Method,2,1,2,0956797617705391
"Finally, in addition to conducting DNA analyses, we used twin data to obtain the first well-powered estimate of the degree to which intergenerational educational attainment is heritable.",intro,Research Article,1,6,5,0956797617707270
